,Pot1,Pot2,Pot3,Pot4
1,0.8119999999999999,1.1560000000000001,0.884,0.842
2,0.178,0.268,0.20600000000000002,0.18
3,0.158,0.272,0.21000000000000002,0.176
4,0.16799999999999998,0.274,0.20800000000000002,0.18
5,0.174,0.272,0.21000000000000002,0.172
6,0.174,0.27799999999999997,0.20800000000000002,0.176
7,0.27999999999999997,0.244,0.22799999999999998,0.188
8,0.27799999999999997,0.236,0.22999999999999998,0.188
9,0.27799999999999997,0.23399999999999999,0.22999999999999998,0.186
10,0.27799999999999997,0.246,0.22799999999999998,0.186
11,0.27599999999999997,0.244,0.22799999999999998,0.184
12,0.20800000000000002,0.23399999999999999,0.274,0.202
13,0.20800000000000002,0.23199999999999998,0.282,0.2
14,0.19,0.262,0.27799999999999997,0.202
15,0.20600000000000002,0.26,0.27,0.198
16,0.2,0.26,0.27999999999999997,0.198
17,0.23199999999999998,0.23199999999999998,0.32999999999999996,0.22799999999999998
18,0.23399999999999999,0.22799999999999998,0.32799999999999996,0.22400000000000003
19,0.22200000000000003,0.23199999999999998,0.32599999999999996,0.22000000000000003
20,0.22200000000000003,0.256,0.32799999999999996,0.22200000000000003
21,0.236,0.264,0.32599999999999996,0.22400000000000003
22,0.23199999999999998,0.22200000000000003,0.318,0.22999999999999998
23,0.21400000000000002,0.25,0.348,0.22799999999999998
24,0.22200000000000003,0.246,0.33199999999999996,0.22999999999999998
25,0.22999999999999998,0.24,0.32,0.22400000000000003
26,0.22599999999999998,0.22200000000000003,0.32599999999999996,0.22999999999999998
27,0.124,0.19,0.196,0.172
28,0.128,0.194,0.198,0.18
29,0.132,0.182,0.196,0.16599999999999998
30,0.132,0.182,0.2,0.178
31,0.126,0.184,0.198,0.182
32,0.13799999999999998,0.172,0.20600000000000002,0.092
33,0.152,0.174,0.202,0.10400000000000001
34,0.148,0.172,0.248,0.174
35,0.144,0.174,0.254,0.16599999999999998
36,0.144,0.176,0.252,0.18
37,0.186,0.186,0.244,0.16799999999999998
38,0.182,0.18,0.248,0.172
39,0.18,0.20400000000000001,0.246,0.16799999999999998
40,0.198,0.198,0.242,0.172
41,0.18,0.196,0.24,0.16799999999999998
42,0.198,0.188,0.256,0.192
43,0.18,0.142,0.246,0.10800000000000001
44,0.176,0.194,0.254,0.142
45,0.186,0.194,0.22400000000000003,0.118
46,0.182,0.194,0.256,0.13999999999999999
47,0.22400000000000003,0.2,0.22999999999999998,0.20600000000000002
48,0.22599999999999998,0.236,0.314,0.174
49,0.20400000000000001,0.244,0.322,0.172
50,0.21600000000000003,0.266,0.314,0.16999999999999998
51,0.22000000000000003,0.258,0.296,0.16599999999999998
52,0.23199999999999998,0.22599999999999998,0.364,0.20600000000000002
53,0.22999999999999998,0.22400000000000003,0.33199999999999996,0.21600000000000003
54,0.22799999999999998,0.162,0.29,0.21400000000000002
55,0.22999999999999998,0.22400000000000003,0.378,0.21400000000000002
56,0.23199999999999998,0.23199999999999998,0.378,0.198
57,0.134,0.126,0.10400000000000001,0.148
58,0.13999999999999999,0.038,0.098,0.16599999999999998
59,0.13,0.12,0.08,0.162
60,0.11000000000000001,0.124,0.15,0.152
61,0.162,0.122,0.146,0.088
62,0.132,0.13,0.148,0.176
63,0.124,0.132,0.16599999999999998,0.18
64,0.118,0.13,0.186,0.154
65,0.132,0.132,0.16399999999999998,0.21200000000000002
66,0.132,0.13,0.10200000000000001,0.16
67,0.142,0.144,0.13799999999999998,0.156
68,0.154,0.142,0.13999999999999999,0.158
69,0.132,0.146,0.13799999999999998,0.156
70,0.134,0.144,0.25,0.22999999999999998
71,0.134,0.148,0.13799999999999998,0.154
72,0.13799999999999998,0.162,0.29,0.198
73,0.134,0.16399999999999998,0.13799999999999998,0.21200000000000002
74,0.13,0.158,0.294,0.202
75,0.13,0.162,0.29,0.21200000000000002
76,0.134,0.162,0.292,0.198
77,0.144,0.172,0.34199999999999997,0.098
78,0.144,0.16999999999999998,0.246,0.16399999999999998
79,0.148,0.172,0.23199999999999998,0.1
80,0.144,0.172,0.258,0.094
81,0.146,0.172,0.292,0.172
82,0.152,0.20400000000000001,0.246,0.124
83,0.144,0.16599999999999998,0.272,0.182
84,0.13999999999999999,0.196,0.356,0.184
85,0.136,0.176,0.356,0.178
86,0.13999999999999999,0.192,0.10600000000000001,0.176
87,0.136,0.162,0.172,0.154
88,0.134,0.16999999999999998,0.078,0.152
89,0.13799999999999998,0.16999999999999998,0.134,0.08399999999999999
90,0.13999999999999999,0.172,0.08199999999999999,0.152
