,Pot1,Pot2,Pot3,Pot4,Pot5
1,1.19,1.074,1.138,0.9620000000000001,1.246
2,0.264,0.11000000000000001,0.148,0.172,0.21400000000000002
3,0.26,0.10200000000000001,0.144,0.174,0.258
4,0.262,0.10200000000000001,0.144,0.178,0.262
5,0.26,0.21800000000000003,0.136,0.176,0.268
6,0.258,0.22200000000000003,0.134,0.16799999999999998,0.27
7,0.27999999999999997,0.10600000000000001,0.22999999999999998,0.152,0.22799999999999998
8,0.27799999999999997,0.10800000000000001,0.236,0.15,0.22799999999999998
9,0.27799999999999997,0.092,0.22999999999999998,0.16,0.22999999999999998
10,0.27799999999999997,0.098,0.23199999999999998,0.158,0.23199999999999998
11,0.27599999999999997,0.118,0.22999999999999998,0.186,0.236
12,0.324,0.122,0.264,0.2,0.258
13,0.324,0.118,0.27999999999999997,0.22400000000000003,0.27599999999999997
14,0.33799999999999997,0.124,0.256,0.266,0.268
15,0.346,0.13,0.25,0.266,0.266
16,0.346,0.184,0.282,0.23199999999999998,0.27999999999999997
17,0.33199999999999996,0.16599999999999998,0.186,0.22200000000000003,0.272
18,0.33399999999999996,0.162,0.192,0.21800000000000003,0.264
19,0.33799999999999997,0.16399999999999998,0.178,0.21600000000000003,0.262
20,0.33399999999999996,0.16799999999999998,0.286,0.21800000000000003,0.26
21,0.33999999999999997,0.16999999999999998,0.282,0.22799999999999998,0.26
22,0.308,0.144,0.172,0.22400000000000003,0.286
23,0.304,0.10800000000000001,0.16399999999999998,0.244,0.33199999999999996
24,0.312,0.13799999999999998,0.162,0.244,0.33199999999999996
25,0.308,0.128,0.162,0.262,0.314
26,0.322,0.12,0.158,0.154,0.316
27,0.22599999999999998,0.10800000000000001,0.13999999999999999,0.118,0.172
28,0.22599999999999998,0.11000000000000001,0.202,0.11599999999999999,0.16999999999999998
29,0.21800000000000003,0.134,0.152,0.11399999999999999,0.16799999999999998
30,0.21600000000000003,0.092,0.132,0.11599999999999999,0.16799999999999998
31,0.22400000000000003,0.12,0.128,0.118,0.16799999999999998
32,0.19,0.184,0.134,0.11200000000000002,0.156
33,0.178,0.13999999999999999,0.21800000000000003,0.124,0.21200000000000002
34,0.174,0.182,0.21600000000000003,0.12,0.21200000000000002
35,0.16999999999999998,0.136,0.21200000000000002,0.11599999999999999,0.20800000000000002
36,0.16799999999999998,0.126,0.21000000000000002,0.12,0.21200000000000002
37,0.158,0.16599999999999998,0.21400000000000002,0.136,0.182
38,0.156,0.154,0.21000000000000002,0.13999999999999999,0.172
39,0.21400000000000002,0.15,0.144,0.144,0.176
40,0.21800000000000003,0.156,0.156,0.15,0.16999999999999998
41,0.22000000000000003,0.154,0.21400000000000002,0.16599999999999998,0.1774
42,0.266,0.15,0.148,0.13999999999999999,0.2
43,0.272,0.13,0.148,0.126,0.198
44,0.268,0.12,0.21800000000000003,0.142,0.196
45,0.27,0.172,0.154,0.134,0.194
46,0.264,0.122,0.22599999999999998,0.136,0.196
47,0.314,0.122,0.20400000000000001,0.16999999999999998,0.198
48,0.304,0.11000000000000001,0.194,0.156,0.194
49,0.3,0.16599999999999998,0.194,0.158,0.188
50,0.306,0.134,0.19,0.15,0.194
51,0.304,0.10600000000000001,0.282,0.18,0.194
52,0.258,0.12,0.21000000000000002,0.176,0.246
53,0.246,0.11000000000000001,0.20800000000000002,0.16999999999999998,0.246
54,0.346,0.10800000000000001,0.20400000000000001,0.176,0.246
55,0.35,0.068,0.196,0.186,0.242
56,0.348,0.08,0.27,0.18,0.21200000000000002
57,0.188,0.066,0.098,0.12,0.20600000000000002
58,0.176,0.122,0.1,0.12,0.198
59,0.178,0.134,0.10200000000000001,0.118,0.182
60,0.16399999999999998,0.146,0.1,0.126,0.124
61,0.11000000000000001,0.148,0.1,0.122,0.124
62,0.256,0.19,0.11200000000000002,0.12,0.192
63,0.258,0.146,0.194,0.12,0.20400000000000001
64,0.262,0.08399999999999999,0.122,0.11399999999999999,0.20400000000000001
65,0.26,0.16999999999999998,0.11200000000000002,0.11599999999999999,0.19
66,0.258,0.142,0.11399999999999999,0.11599999999999999,0.186
67,0.25,0.192,0.10800000000000001,0.172,0.144
68,0.244,0.198,0.11000000000000001,0.176,0.13799999999999998
69,0.246,0.202,0.2,0.172,0.136
70,0.22599999999999998,0.21200000000000002,0.194,0.16799999999999998,0.134
71,0.25,0.20400000000000001,0.2,0.08399999999999999,0.134
72,0.252,0.10400000000000001,0.194,0.08399999999999999,0.198
