1	170661
2	48780
3	24115
4	14852
5	10279
6	7552
7	5790
8	4583
9	3773
10	3193
11	2678
12	2282
13	1999
14	1776
15	1575
16	1391
17	1262
18	1144
19	1048
20	962
21	872
22	807
23	744
24	690
25	654
26	614
27	559
28	523
29	485
