,Pot1,Pot2,Pot3,Pot4,Pot5
1,0.0,0.0,0.0,0.0,0.0
2,2.6279999999999997,2.4619999999999997,2.746,3.976,1.73
3,1.19,1.138,0.9620000000000001,1.246,1.074
4,1.304,0.706,0.868,1.2720000000000002,0.7540000000000001
5,1.39,1.158,0.806,1.154,0.522
6,1.6780000000000002,1.332,1.1880000000000002,1.348,0.6779999999999999
7,1.6779999999999997,1.124,1.1019999999999999,1.318,0.8299999999999998
8,1.554,0.818,1.1279999999999997,1.58,0.638
9,1.1099999999999999,0.754,0.582,0.8459999999999999,0.5640000000000001
10,0.8800000000000001,0.99,0.5920000000000001,1.0,0.768
11,0.966,0.9380000000000001,0.736,0.8774000000000001,0.78
12,1.3400000000000003,0.8940000000000001,0.678,0.984,0.694
13,1.528,1.064,0.8140000000000001,0.968,0.6380000000000001
14,1.548,1.0879999999999999,0.8880000000000001,1.1920000000000002,0.48599999999999993
15,0.8160000000000001,0.5,0.606,0.834,0.616
16,1.294,0.654,0.5860000000000001,0.976,0.732
17,1.216,0.8119999999999999,0.772,0.6859999999999999,1.0079999999999998
18,1.014,0.67,0.304,0.8539999999999999,0.36
