Date,Time,Humidity,Voltage
15/02,Morning,NAN,0
,,,0
,,,0
,,,0
,,,0
,Night,WET +,4.11
,,,4.08
,,,3.77
,,,4.08
,,,3.84
16/02,Morning,WET + ,1.45
,,,1.2
,,,1.2
,,,1.18
,,,1.2
,Night,DRY,1.07
,,,1.29
,,,1.31
,,,1.34
,,,1.35
17/02,Morning,DRY +,1.14
,,,1.14
,,,1.15
,,,1.16
,,,1.18
,Night,DRY +,1.29
,,,1.38
,,,1.34
,,,1.33
,,,1.4
18/02,Morning,DRY +,1.36
,,,1.32
,,,1.31
,,,1.3
,,,1.3
,Night,DRY +,1.43
,,,1.66
,,,1.66
,,,1.57
,,,1.58
19/02,Morning,WET,0.86
,,,0.85
,,,0.84
,,,0.84
,,,0.84
,Night,NOR,0.78
,,,1.06
,,,1.06
,,,1.04
,,,1.06
20/02,Morning,DRY,0.91
,,,0.86
,,,0.88
,,,0.85
,,,0.887
,Night,NOR,1
,,,0.99
,,,0.98
,,,0.97
,,,0.98
21/02,Morning,DRY,0.99
,,,0.97
,,,0.94
,,,0.97
,,,0.97
, Night,DRY+,1.23
,,,1.23
,,,1.23
,,,1.21
,,,1.06
22/02,Morning,WET +,1.03
,,,0.99
,,,0.91
,,,0.62
,,,0.62
