Date,Time,Humidity,Voltage
15/02,Morning,NAN,0
,,,0
,,,0
,,,0
,,,0
,Night,WET +,3.5
,,,3.37
,,,3.5
,,,3.51
,,,3.44
16/02,Morning,WET,1.01
,,,1.08
,,,1.2
,,,1.24
,,,1.25
,Night,DRY +,1.34
,,,1.36
,,,1.37
,,,1.36
,,,1.39
17/02,Morning,DRY +,1.22
,,,1.18
,,,1.17
,,,1.23
,,,1.22
,Night,DRY +,1.17
,,,1.16
,,,1.31
,,,1.3
,,,1.3
18/02,Morning,DRY +,1.16
,,,1.14
,,,1.16
,,,1.28
,,,1.32
,Night,DRY +,1.11
,,,1.25
,,,1.23
,,,1.2
,,,1.11
19/02,Morning,WET,0.95
,,,0.97
,,,0.91
,,,0.91
,,,0.92
,Night,NOR,0.86
,,,0.87
,,,0.86
,,,0.87
,,,0.88
20/02,Morning,DRY,0.93
,,,0.9
,,,1.02
,,,0.99
,,,0.98
,Night,DRY,0.94
,,,0.71
,,,0.97
,,,0.97
,,,0.97
21/02,Morning,DRY,1
,,,1.18
,,,1.22
,,,1.33
,,,1.29
,Night,DRY+,1.13
,,,1.12
,,,0.81
,,,1.12
,,,1.16
22/02,Morning,WET +,0.63
,,,0.19
,,,0.6
,,,0.62
,,,0.61
,Night,WET +,0.65
,,,0.66
,,,0.65
,,,0.66
,,,0.65
23/02,Morning,WET,0.72
,,,0.71
,,,0.73
,,,0.72
,,,0.74
,Night,NOR,0.81
,,,0.82
,,,0.79
,,,0.81
,,,0.81
24/02,Morning,NOR,0.86
,,,0.85
,,,0.86
,,,0.86
,,,0.86
,Night,DRY,1.02
,,,0.83
,,,0.98
,,,0.88
,,,0.96
25/02,Morning,WET +,0.81
,,,0.85
,,,0.85
,,,0.86
,,,0.3
