Date,Time,Humidity,Voltage,Temperature
16/02,Morning,WET,0.63,19
16/02,Morning,WET,0.85,19
16/02,Morning,WET,0.6,19
16/02,Morning,WET,0.85,19
16/02,Morning,WET,0.6,19
16/02,Night,DRY,0.03,21
16/02,Night,DRY,0.02,21
16/02,Night,DRY,0.03,21
16/02,Night,DRY,0.04,21
16/02,Night,DRY,0.04,21
17/02,Morning,DRY +,0.01,20
17/02,Morning,DRY +,0.01,20
17/02,Morning,DRY +,0.02,20
17/02,Morning,DRY +,0,20
17/02,Morning,DRY +,0.01,20
17/02,Night,DRY +,0.01,22
17/02,Night,DRY +,0.01,22
17/02,Night,DRY +,0.01,22
17/02,Night,DRY +,0.01,22
17/02,Night,DRY +,0.01,22
18/02,Morning,DRY +,0.01,20
18/02,Morning,DRY +,0.03,20
18/02,Morning,DRY +,0.03,20
18/02,Morning,DRY +,0.03,20
18/02,Morning,DRY +,0.05,20
18/02,Night,DRY +,0.01,22
18/02,Night,DRY +,0.03,22
18/02,Night,DRY +,0.01,22
18/02,Night,DRY +,0.01,22
18/02,Night,DRY +,0.04,22
19/02,Morning,WET,0.63,20
19/02,Morning,WET,0.58,20
19/02,Morning,WET,0.72,20
19/02,Morning,WET,0.63,20
19/02,Morning,WET,0.88,20
19/02,Night,NOR,0.31,21
19/02,Night,NOR,0.26,21
19/02,Night,NOR,0.3,21
19/02,Night,NOR,0.26,21
19/02,Night,NOR,0.26,21
20/02,Morning,DRY,0.12,20
20/02,Morning,DRY,0.14,20
20/02,Morning,DRY,0.15,20
20/02,Morning,DRY,0.07,20
20/02,Morning,DRY,0.14,20
20/02,Night,DRY +,0.05,20
20/02,Night,DRY +,0.07,20
20/02,Night,DRY +,0.1,20
20/02,Night,DRY +,0.05,20
20/02,Night,DRY +,0.08,20
21/02,Morning,DRY +,0.01,20
21/02,Morning,DRY +,0.05,20
21/02,Morning,DRY +,0.04,20
21/02,Morning,DRY +,0.05,20
21/02,Morning,DRY +,0.04,20
21/02,Night,DRY +,0,22
21/02,Night,DRY +,0,22
21/02,Night,DRY +,0,22
21/02,Night,DRY +,0,22
21/02,Night,DRY +,0,22
22/02,Morning,WET +,1.78,19
22/02,Morning,WET +,1.75,19
22/02,Morning,WET +,1.82,19
22/02,Morning,WET +,1.86,19
22/02,Morning,WET +,1.95,19
22/02,Night,WET,0.8,20
22/02,Night,WET,1.54,20
22/02,Night,WET,1.33,20
22/02,Night,WET,1.34,20
22/02,Night,WET,1.42,20
23/02,Morning,NOR,0.88,20
23/02,Morning,NOR,0.76,20
23/02,Morning,NOR,0.72,20
23/02,Morning,NOR,0.68,20
23/02,Morning,NOR,0.52,20
23/02,Night,DRY +,0.09,22
23/02,Night,DRY +,0.15,22
23/02,Night,DRY +,0.05,22
23/02,Night,DRY +,0.14,22
23/02,Night,DRY +,0.15,22
24/02,Morning,DRY +,0.06,20
24/02,Morning,DRY +,0.08,20
24/02,Morning,DRY +,0.08,20
24/02,Morning,DRY +,0.05,20
24/02,Morning,DRY +,0.07,20
24/02,Night,DRY +,0.01,21
24/02,Night,DRY +,0.02,21
24/02,Night,DRY +,0.02,21
24/02,Night,DRY +,0.02,21
24/02,Night,DRY +,0.01,21
25/02,Morning,WET +,0.33,19
25/02,Morning,WET +,0.35,19
25/02,Morning,WET +,0.35,19
25/02,Morning,WET +,0.39,19
25/02,Morning,WET +,0.41,19
