Date,Time,Humidity,Voltage
15/02,Morning,NAN,0
,,,0
,,,0
,,,0
,,,0
,Night,WET +,2.48
,,,2.07
,,,1.32
,,,1.41
,,,1.75
16/02,Morning,DRY,0.22
,,,0.26
,,,0.23
,,,0.27
,,,0.28
,Night,DRY +,0.01
,,,0
,,,0.01
,,,0.01
,,,0.01
17/02,Morning,DRY +,0
,,,0
,,,0
,,,0
,,,0
,Night,DRY +,0.01
,,,0.01
,,,0.01
,,,0.01
,,,0.01
18/02,Morning,DRY +,0.01
,,,0.01
,,,0.02
,,,0.02
,,,0.02
,Night,DRY +,0.03
,,,0.02
,,,0.04
,,,0.03
,,,0.01
19/02,Morning,WET,0.67
,,,0.53
,,,0.43
,,,0.63
,,,0.86
,Night,NOR,0.38
,,,0.22
,,,0.3
,,,0.31
,,,0.32
20/02,Morning,DRY,0.79
,,,0.78
,,,1.07
,,,1.09
,,,1.1
,Night,DRY +,0.18
,,,0.23
,,,0.24
,,,0.25
,,,0.31
21/02,Morning,DRY +,0
,,,0.01
,,,0.01
,,,0.01
,,,0.01
,Night,DRY +,0
,,,0
,,,0.01
,,,0.01
,,,0
22/02,Morning,WET +,1.63
,,,1.44
,,,1.54
,,,1.27
,,,1.39
,Night,WET,0.94
,,,0.9
,,,0.86
,,,0.84
,,,0.78
23/02,Morning,NOR,0.6
,,,0.31
,,,0.45
,,,0.21
,,,0.34
,Night,DRY,0.08
,,,0.07
,,,0.08
,,,0.09
,,,0.08
24/02,Morning,DRY +,0.02
,,,0.01
,,,0.02
,,,0.01
,,,0.01
